物件名,築年数,専有面積
カーササシダ,33,18.0
東京メトロ日比谷線 東銀座駅 8階建 築46年,46,19.1
プラトー神宮前,28,27.9
ＳＡ１１１５　ＳＯＵＴＨ,6,12.03
ＳＷ５０５,10,9.22
西武新宿線 中井駅 3階建 築19年,19,18.03
ベル・ディオーネ,19,18.03
ＪＲ山手線 新橋駅 11階建 築44年,44,16.02
東京メトロ東西線 神楽坂駅 4階建 築39年,39,38.47
都営大江戸線 落合南長崎駅 4階建 築7年,7,31.6
都営大江戸線 牛込神楽坂駅 13階建 築23年,23,21.17
東京メトロ南北線 麻布十番駅 地下1地上8階建 築10年,10,25.46
プリムヴェール宇野,34,18.0
エムズコート四谷,6,29.16
エスポアハイム,12,29.62
三番町パークライフ,40,27.0
原宿インペリアルハイツ,57,44.45
ＪＲ総武線 大久保駅 地下1地上3階建 築23年,23,36.22
モンテ・オーロ,23,36.22
コーポ富紀,50,18.0
東京メトロ東西線 早稲田駅 3階建 築9年,9,11.9
サングレイス西原,35,24.0
コ－ポアルボル,32,18.0
ローリエヤマモト　リノベ　東京タワービュー,50,36.84
都営大江戸線 牛込柳町駅 10階建 築10年,10,25.43
ＪＲ中央線 東中野駅 2階建 築14年,14,15.1
ヴィラ北新宿,14,15.1
原宿インペリアルハイツ,57,44.45
東豊エステート,55,45.62
コーポ富紀,50,18.0
ＳＡ１１１５　ＳＯＵＴＨ,6,12.03
ＳＷ５０５,10,9.22
サングレイス西原,35,24.0
Casa Splendido Toranomon Est（カーサスプレ,20,22.79
都営三田線 御成門駅 15階建 築20年,20,24.67
東京メトロ日比谷線 東銀座駅 8階建 築46年,46,19.1
西武新宿線 中井駅 3階建 築19年,19,18.03
ベル・ディオーネ,19,18.03
コ－ポアルボル,32,18.0
東京メトロ東西線 神楽坂駅 4階建 築39年,39,38.47
京王井の頭線 駒場東大前駅 6階建 築20年,20,21.5
都営大江戸線 落合南長崎駅 4階建 築7年,7,31.6
都営大江戸線 牛込神楽坂駅 13階建 築23年,23,21.17
ＪＲ山手線 新橋駅 11階建 築44年,44,16.02
パティオ上原,41,20.0
ライオンズマンション赤坂,56,68.0
東京メトロ千代田線 赤坂駅 地下1地上8階建 築56年,56,68.0
エムズコート四谷,6,29.16
エスポアハイム,12,29.62
ＪＲ総武線 大久保駅 地下1地上3階建 築23年,23,36.22
モンテ・オーロ,23,36.22
ＳＹ５４６３,6,11.12
東京メトロ東西線 早稲田駅 3階建 築9年,9,11.9
パークウェル麻布,25,20.1
都営大江戸線 麻布十番駅 9階建 築25年,25,20.1
ＬＡＰｉＳ南麻布,7,25.45
秀和第二南平台レジデンス,55,73.0
秀和第二南平台レジデンス,55,73.0
プラティーヌ新宿新都心,17,41.91
東京メトロ千代田線 代々木上原駅 2階建 築42年,42,19.84
ヴィラ初台,43,26.29
都営大江戸線 牛込柳町駅 3階建 築7年,7,34.0
西新宿 PINE NEEDLE,7,30.29
都営大江戸線 西新宿五丁目駅 12階建 築7年,7,28.13
ＪＲ山手線 高田馬場駅 地下1地上8階建 築42年,42,38.9
豊電ビル,42,38.9
小田急線 参宮橋駅 地下1地上3階建 築34年,34,18.3
ＪＲ総武線 四ツ谷駅 地下1地上4階建 築7年,7,25.46
フォレストコート,17,26.96
都営浅草線 大門駅 10階建 築23年,23,26.35
ラクシア品川ポルトチッタ,21,76.77
東京メトロ半蔵門線 半蔵門駅 地下1地上10階建 築9年,9,77.22
サンワードビル,35,59.4
エムメイト綱町,36,52.8
ラウンジ大久保,6,19.85
グランドコンシェルジュ新宿北,18,23.1
スカイコート四谷,20,22.71
ＪＲ総武線 四ツ谷駅 11階建 築20年,20,22.71
メゾンミスズ,25,32.0
東京メトロ千代田線 代々木公園駅 9階建 築21年,21,20.66
小田急線 代々木八幡駅 2階建 築50年,50,20.0
東京メトロ有楽町線 江戸川橋駅 8階建 築21年,21,21.85
東京メトロ丸ノ内線 新宿御苑前駅 15階建 築19年,19,20.64
ヴェラハイツ日本橋,46,19.18
ＬＥＡＦ　ＣＯＵＲＴ　ＰＬＵＳ,37,25.05
並木ビル,51,44.0
都営大江戸線 若松河田駅 4階建 築2年,2,31.54
ＪＲ総武線 四ツ谷駅 11階建 築20年,20,22.71
メゾンミスズ,25,32.0
東京メトロ有楽町線 江戸川橋駅 8階建 築21年,21,21.85
東京メトロ丸ノ内線 新宿御苑前駅 15階建 築19年,19,20.64
東豊エステート,55,45.62
都営大江戸線 若松河田駅 4階建 築2年,2,31.54
POSITIVE市谷台,7,23.01
Casa Splendido Toranomon Est（カーサスプレ,20,22.79
都営三田線 御成門駅 15階建 築20年,20,24.67
セジョリ西早稲田II,5,25.89
東京メトロ東西線 早稲田駅 11階建 築5年,5,25.89
HJ　PLACE　TAKADANOBABA,4,12.18
アパルトマン四谷,50,42.9
東京メトロ丸ノ内線 四谷三丁目駅 7階建 築50年,50,42.9
京王新線 幡ヶ谷駅 4階建 築4年,4,17.7
西武新宿線 中井駅 2階建 築8年,8,9.78
リブリ・西新宿,7,22.2
都営大江戸線 西新宿五丁目駅 12階建 築20年,20,21.4
アーバンプレイス早稲田V,5,10.05
メビウス新宿御苑,19,20.64
ライオンズマンション赤坂,56,68.0
東京メトロ千代田線 赤坂駅 地下1地上8階建 築56年,56,68.0
DIGNITY,17,20.0
ドルチェ・コート,17,24.15
レジデンス西早稲田,7,31.27
ザ・パークハウスアーバンス表参道,6,29.92
ＪＲ山手線 原宿駅 6階建 築6年,6,29.92
ＪＲ中央線 大久保駅 4階建 築18年,18,23.49
プレール・ドゥーク北新宿II,18,23.49
ライズ恵比寿壱番館,7,17.59
ＪＲ山手線 原宿駅 2階建 築22年,22,28.23
京王新線 幡ヶ谷駅 1階建 築19年,19,20.25
ＪＲ山手線 恵比寿駅 6階建 築26年,26,24.8
ビラ中島,51,50.0
アイリス神楽坂,1,13.16
Casa Splendido Toranomon Est（カーサスプレ,20,22.79
都営三田線 御成門駅 15階建 築20年,20,24.67
東京メトロ丸ノ内線 四谷三丁目駅 4階建 築12年,12,25.08
京王線 笹塚駅 2階建 築36年,36,20.0
東京メトロ丸ノ内線 新宿三丁目駅 16階建 築9年,9,25.44
東急東横線 代官山駅 2階建 築33年,33,28.4
セピア,63,21.8
若木第２ビル,45,34.65
ライオンズマンション赤坂,56,68.0
東京メトロ千代田線 赤坂駅 地下1地上8階建 築56年,56,68.0
ＪＲ中央線 東中野駅 6階建 築22年,22,22.74
プレール・ドゥーク早稲田,18,22.91
西武新宿線 下落合駅 4階建 築3年,3,25.69
京王線 笹塚駅 10階建 築38年,38,15.0
ラ・クレー２１,26,37.75
東京メトロ丸ノ内線 本郷三丁目駅 地下1地上4階建 築60年,60,37.8
ＪＲ中央線 大久保駅 2階建 築22年,22,22.0
パークウェル麻布,25,20.1
都営大江戸線 麻布十番駅 9階建 築25年,25,20.1
ＬＡＰｉＳ南麻布,7,25.45
高輪ヒルズ,52,99.4
悠荘,22,22.5
京王線 笹塚駅 3階建 築35年,35,17.43
京急本線 泉岳寺駅 地下1地上7階建 築22年,22,24.44
小田急線 東北沢駅 3階建 築60年,60,18.2
東京メトロ丸ノ内線 四谷三丁目駅 3階建 築5年,5,20.76
東京メトロ東西線 早稲田駅 7階建 築34年,34,51.27
東京メトロ副都心線 東新宿駅 7階建 築7年,7,25.96
ライオンズマンション赤坂,56,68.0
東京メトロ千代田線 赤坂駅 地下1地上8階建 築56年,56,68.0
京王線 笹塚駅 3階建 築35年,35,17.43
小田急線 東北沢駅 3階建 築60年,60,18.2
ＪＲ山手線 高田馬場駅 2階建 築18年,18,24.84
ＪＲ山手線 恵比寿駅 3階建 築49年,49,24.57
ＪＲ山手線 渋谷駅 7階建 築40年,40,10.24
都営大江戸線 牛込柳町駅 10階建 築6年,6,36.25
パークウェル麻布,25,20.1
都営大江戸線 麻布十番駅 9階建 築25年,25,20.1
東京メトロ東西線 落合駅 3階建 築8年,8,26.25
ＪＲ山手線 巣鴨駅 地下1地上5階建 築62年,62,20.0
ＬＡＰｉＳ南麻布,7,25.45
都電荒川線 早稲田駅 5階建 築3年,3,25.3
高輪ヒルズ,52,99.4
ＪＲ山手線 目白駅 3階建 築3年,3,31.09
スカイコート早稲田第５,24,19.11
ＪＲ山手線 高田馬場駅 4階建 築23年,23,26.4
京急本線 泉岳寺駅 地下1地上7階建 築22年,22,24.44
ハートフル上動,36,18.5
朝日八丁堀マンション,43,24.07
東京メトロ日比谷線 八丁堀駅 7階建 築43年,43,24.07
ピロティフジイ,53,28.35
都営大江戸線 西新宿五丁目駅 7階建 築24年,24,21.05
若木第２ビル,45,34.65
スカイコートヴァンテアン早稲田,23,21.48
ドエル神宮前,28,30.21
ハイネスＩＴＯ,35,20.39
ＪＲ中央線 水道橋駅 10階建 築48年,48,31.1
EIGHHTEENビル,29,73.36
ＪＲ山手線 品川駅 22階建 築21年,21,76.77
ＪＲ山手線 渋谷駅 15階建 築23年,23,60.38
ＪＲ山手線 巣鴨駅 地下1地上5階建 築62年,62,20.0
都電荒川線 早稲田駅 5階建 築3年,3,25.3
東京メトロ南北線 麻布十番駅 地下3地上25階建 築20年,20,55.87
ＪＲ山手線 目白駅 3階建 築3年,3,31.09
スカイコート早稲田第５,24,19.11
ハイツSASAKI,36,18.6
パラシオン笹塚,52,29.16
パシフィック白金台,49,43.74
南青山ユニハイツ,47,84.36
東京メトロ千代田線 代々木公園駅 3階建 築42年,42,17.1
ＪＲ山手線 高田馬場駅 4階建 築23年,23,26.4
新交通ゆりかもめ 芝浦ふ頭駅 12階建 築23年,23,24.77
都営三田線 御成門駅 15階建 築19年,19,20.09
ハートフル上動,36,18.5
ダイヤモンドレジデンス西神田,64,16.74
都営浅草線 高輪台駅 4階建 築28年,28,23.69
都営大江戸線 西新宿五丁目駅 7階建 築24年,24,21.05
スカイコートヴァンテアン早稲田,23,21.48
ＪＲ山手線 恵比寿駅 8階建 築22年,22,49.58
勝田ハイツ,46,21.06
東京メトロ千代田線 赤坂駅 10階建 築9年,9,30.13
都営浅草線 高輪台駅 11階建 築21年,21,23.31
南榎町一戸建,47,51.03
東京メトロ副都心線 西早稲田駅 10階建 築16年,16,27.05
東京メトロ南北線 白金台駅 5階建 築28年,28,19.12
セントヒルズ清水橋,41,19.8
都営大江戸線 西新宿五丁目駅 地下1地上5階建 築41年,41,19.8
東京メトロ千代田線 代々木公園駅 3階建 築38年,38,29.25
パシフィック白金台,49,43.74
南青山ユニハイツ,47,84.36
グリーンハウス高橋,41,26.69
新交通ゆりかもめ 芝浦ふ頭駅 12階建 築23年,23,24.77
MAISON FOREST,6,22.77
東京メトロ東西線 早稲田駅 2階建 築6年,6,22.77
都営三田線 御成門駅 15階建 築19年,19,20.09
都営浅草線 高輪台駅 4階建 築28年,28,23.69
都営大江戸線 落合南長崎駅 9階建 築6年,6,25.78
矢野ハイツ,46,43.0
東京メトロ東西線 落合駅 3階建 築7年,7,21.07
東京メトロ千代田線 赤坂駅 10階建 築9年,9,30.13
ＪＲ山手線 高田馬場駅 2階建 築16年,16,9.26
都営浅草線 高輪台駅 11階建 築21年,21,23.31
東京メトロ丸ノ内線 新宿三丁目駅 6階建 築7年,7,25.5
東京メトロ東西線 高田馬場駅 3階建 築39年,39,45.0
東京メトロ南北線 白金台駅 5階建 築28年,28,19.12
都営大江戸線 牛込柳町駅 12階建 築24年,24,20.9
エム・サンリット白金,2,24.74
東京メトロ南北線 白金高輪駅 4階建 築2年,2,24.74
エビス東ハイツ第２,40,42.3
ＦＥＬＩＸ高田馬場,5,23.56
四ツ谷HOUSE,26,30.15
京王新線 初台駅 2階建 築57年,57,36.02
アージュドール上落合,4,20.06
岩井ビル,50,29.7
クレール北斗,31,17.5
都営浅草線 高輪台駅 地下1地上3階建 築29年,29,20.32
安田神保町マンション,43,23.06
エビス東ハイツ第２,40,42.3
東京メトロ南北線 白金台駅 3階建 築16年,16,31.48
テーベ白金台,16,31.48
朝日八丁堀マンション,43,24.07
東京メトロ日比谷線 八丁堀駅 7階建 築43年,43,24.07
京王新線 初台駅 2階建 築57年,57,36.02
MAISON FOREST,6,22.77
東京メトロ東西線 早稲田駅 2階建 築6年,6,22.77
クレール北斗,31,17.5
メゾンドゥース南麻布,33,74.35
ガーデン南青山,43,58.6
プレジリア東日本橋,13,25.0
パミス代々木上原,37,24.17
都営大江戸線 落合南長崎駅 9階建 築6年,6,25.78
矢野ハイツ,46,43.0
東京メトロ東西線 落合駅 3階建 築7年,7,21.07
ＪＲ山手線 高田馬場駅 2階建 築16年,16,9.26
東京メトロ南北線 白金台駅 11階建 築50年,50,77.23
白金台ハウス,50,77.23
東京メトロ丸ノ内線 新宿三丁目駅 6階建 築7年,7,25.5
東京メトロ東西線 高田馬場駅 3階建 築39年,39,45.0
都営浅草線 三田駅 4階建 築2年,2,25.59
ＪＲ山手線 恵比寿駅 地下1地上10階建 築20年,20,29.75
都営大江戸線 牛込柳町駅 12階建 築24年,24,20.9
ＪＲ山手線 恵比寿駅 4階建 築37年,37,20.0
ＪＲ山手線 品川駅 13階建 築11年,11,29.46
東京メトロ南北線 麻布十番駅 6階建 築47年,47,32.28
ニューステイトメナー,49,22.05
ＪＲ山手線 新大久保駅 4階建 築16年,16,29.2
都営大江戸線 東新宿駅 5階建 築40年,40,42.0
ＪＲ山手線 恵比寿駅 地下1地上10階建 築20年,20,29.75
東京メトロ丸ノ内線 新宿御苑前駅 3階建 築44年,44,54.74
リクレイシア西麻布I番館,22,28.65
ＪＲ山手線 恵比寿駅 4階建 築37年,37,20.0
ファミール下落合,19,23.6
西武新宿線 下落合駅 2階建 築19年,19,23.6
ニューステイトメナー,49,22.05
西武新宿線 下落合駅 5階建 築34年,34,36.3
田中ビル,41,18.0
東京メトロ有楽町線 永田町駅 地下1地上5階建 築48年,48,23.01
東京メトロ南北線 本駒込駅 4階建 築52年,52,25.0
カーサ相生,52,24.3
都営三田線 千石駅 4階建 築37年,37,16.6
東京メトロ千代田線 乃木坂駅 地下2地上19階建 築21年,21,57.72
都営大江戸線 牛込柳町駅 10階建 築18年,18,23.49
パレットコート,18,23.49
クラ神楽坂,5,30.0
都営大江戸線 西新宿五丁目駅 2階建 築32年,32,20.45
アーバンL21,32,20.45
メインステージ市ヶ谷曙橋,21,19.36
東京メトロ日比谷線 広尾駅 9階建 築40年,40,25.33
安田神保町マンション,43,23.06
ブランシェ高輪,29,20.32
都営浅草線 高輪台駅 地下1地上3階建 築29年,29,20.32
東京メトロ南北線 市ケ谷駅 4階建 築3年,3,20.48
ＪＲ山手線 恵比寿駅 3階建 築46年,46,20.0
東京メトロ南北線 白金台駅 3階建 築16年,16,31.48
テーベ白金台,16,31.48
グリーンハイツ,46,21.0
ガーデン南青山,43,58.6
エクセリア神楽坂,19,22.64
HJ　PLACE　新宿早稲田,3,16.43
Casa De Chaya,2,20.86
ＪＲ山手線 高田馬場駅 3階建 築2年,2,20.86
都営三田線 千石駅 4階建 築37年,37,16.6
ＪＲ中央線 大久保駅 2階建 築13年,13,9.85
ＪＲ山手線 高田馬場駅 5階建 築7年,7,25.37
第一西谷ビル,50,30.0
東京メトロ南北線 白金台駅 11階建 築50年,50,77.23
白金台ハウス,50,77.23
京王新線 初台駅 4階建 築39年,39,22.65
カーサ相生,52,24.3
東京メトロ東西線 早稲田駅 11階建 築19年,19,21.97
セジョリ早稲田,19,23.26
東京メトロ有楽町線 江戸川橋駅 5階建 築6年,6,19.1
Ｌｕｎａ　Ｃｒｅｓｃｅｎｔｅ　Ｋａｇｕｒａｚａｋａ,6,19.1
宝ビル,37,79.54
都営浅草線 三田駅 4階建 築2年,2,25.59
ＪＲ山手線 渋谷駅 3階建 築37年,37,44.56
都営大江戸線 西新宿五丁目駅 2階建 築5年,5,18.22
小田急線 代々木上原駅 2階建 築32年,32,20.0
ＪＲ中央線 大久保駅 13階建 築13年,13,33.48
ＪＲ東海道本線 品川駅 13階建 築11年,11,29.46
東京メトロ南北線 麻布十番駅 6階建 築47年,47,32.28
ハーモニーレジデンス新宿御苑　ＴＨＥ　ＥＡＳＴ,7,25.5
パークサイド O,31,20.79
都営三田線 白金台駅 10階建 築11年,11,21.84
ルームズ笹塚　B棟,7,10.32
グランド・ガーラ西麻布,22,27.62
東京メトロ東西線 早稲田駅 11階建 築19年,19,21.97
セジョリ早稲田,19,23.26
東京メトロ有楽町線 江戸川橋駅 5階建 築6年,6,19.1
Ｌｕｎａ　Ｃｒｅｓｃｅｎｔｅ　Ｋａｇｕｒａｚａｋａ,6,19.1
宝ビル,37,79.54
シュロス神田五軒町ツインフォルム,26,25.73
東京メトロ南北線 白金高輪駅 3階建 築29年,29,18.0
京王新線 幡ヶ谷駅 地下1地上5階建 築34年,34,27.64
パシフィーク品川,24,50.05
都営大江戸線 西新宿五丁目駅 2階建 築5年,5,18.22
ＪＲ中央線 大久保駅 13階建 築13年,13,33.48
高輪アパートメント,54,37.7
東京メトロ南北線 麻布十番駅 12階建 築22年,22,23.58
ハイネス金丸,40,21.62
ハーモニーレジデンス新宿御苑　ＴＨＥ　ＥＡＳＴ,7,25.5
都営大江戸線 都庁前駅 16階建 築19年,19,22.5
西麻布ガーデン,49,84.75
エスリードコート西新宿　（旧スカイパレス西新宿,25,21.35
東京メトロ丸ノ内線 四谷三丁目駅 14階建 築2年,2,30.95
CAVANA+ YOTSUYA,2,30.95
目白台コーポ,55,26.86
都営大江戸線 麻布十番駅 地下1地上10階建 築43年,43,67.46
モンテプラザ麻布,43,67.46
都営新宿線 曙橋駅 地下1地上4階建 築5年,5,17.21
パセオ市谷台町II,5,17.21
都営大江戸線 東新宿駅 4階建 築3年,3,29.9
ＪＲ中央線 大久保駅 2階建 築8年,8,10.07
ＪＲ山手線 高田馬場駅 5階建 築3年,3,26.14
ＣＯＮＴＥＬ　ＹＯＴＳＵＹＡII,3,16.58
安全ビルレジデンス,18,62.74
東京メトロ銀座線 赤坂見附駅 地下1地上22階建 築18年,18,62.74
