物件名,築年数,専有面積
シャレール広尾2号棟2-101,19,29.03
ダイネス壱番館渋谷,44,16.62
東京メトロ丸ノ内線 西新宿駅 8階建 築28年,28,19.59
ＯＭＯＣｉ　ＤＥ　ＳＥＮＧＯＫＵ,2,51.1
ＪＲ山手線 巣鴨駅 地下1地上5階建 築2年,2,51.1
スクエアードコート日本橋人形町,18,41.68
プライムアーバン目白,20,25.34
クレセント戸山,23,21.11
ＪＲ山手線 新宿駅 8階建 築7年,7,25.57
清原マンション,48,17.01
トーシンフェニックス高田馬場弐番館,18,21.05
都営三田線 水道橋駅 10階建 築1年,1,26.33
サンテミリオン目白西,23,23.29
向丘ホワイトマンション,50,55.27
ＪＲ山手線 巣鴨駅 5階建 新築,0,35.61
都営三田線 三田駅 10階建 築45年,45,19.2
ウィルローズ築地　最上階・角部屋,13,72.96
オープンレジデンシア本郷の杜,0,45.07
高輪サンハイツ,44,47.26
レジディア文京音羽,22,54.46
ファーストハウス北新宿,9,12.47
ウェルスクエア駒込,0,29.14
ヴィラフォンテ,41,20.58
グランエクレール千駄木,26,110.38
東京メトロ千代田線 千駄木駅 5階建 築26年,26,110.38
イーグル駒場マンション,39,18.81
市谷ハイム,31,16.88
東京メトロ南北線 市ケ谷駅 3階建 築31年,31,16.88
東京メトロ丸ノ内線 四谷三丁目駅 5階建 築41年,41,14.54
東京メトロ南北線 麻布十番駅 3階建 築43年,43,12.0
ブランシエスタ白山,6,39.57
都営三田線 白山駅 地下1地上14階建 築6年,6,57.44
哲学堂通りセンタービル,35,37.76
ブルーロック後楽園,3,25.29
都営大江戸線 飯田橋駅 10階建 築3年,3,25.0
東京メトロ丸ノ内線 後楽園駅 15階建 築2年,2,25.29
ルーブル新宿西落合II,26,17.7
J-ARC白山,0,46.79
京王線 笹塚駅 6階建 築2年,2,58.56
ザ・テラス代々木上原,39,245.18
パークハイム千駄木,38,85.86
東京メトロ千代田線 千駄木駅 地下1地上5階建 築38年,38,85.86
都営大江戸線 勝どき駅 8階建 築27年,27,66.59
